Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6773822;11958204;11816270;1;KU;36;N;;0;ei henkilövahinkoa;;;
6801058;11958220;11816278;1;KU;;N;;0;ei henkilövahinkoa;;;
6785386;11958224;11816280;1;KU;19;M;X;0;ei henkilövahinkoa;;;
6749037;11958230;11816283;1;MA;41;M;;0;ei henkilövahinkoa;;;
6749037;11958230;11816284;1;KU;35;N;;0;ei henkilövahinkoa;;;
6746363;11958240;11816294;1;KU;20;M;X;0;ei henkilövahinkoa;;;
6645398;11958242;11816295;1;KU;67;M;;0;ei henkilövahinkoa;;;
6814413;11958250;11816299;1;KU;85;M;;0;ei henkilövahinkoa;;;
6714109;11958489;11816305;1;KU;35;N;;L;loukkaantunut;;;
6777119;11958495;11816308;1;KU;59;M;;L;loukkaantunut;;;
6718522;11958509;11816319;1;KU;;N;;0;ei henkilövahinkoa;;;
6718522;11958509;11816320;1;MA;;M;;0;ei henkilövahinkoa;;;
6703896;11958512;11816322;1;KU;46;N;;0;ei henkilövahinkoa;;;
6600430;11958516;11816324;1;KU;23;M;;0;ei henkilövahinkoa;;;
6703772;11958518;11816325;1;KU;41;N;;0;ei henkilövahinkoa;;;
6703773;11958520;11816326;1;KU;45;M;;0;ei henkilövahinkoa;;;
6565144;11958528;11816331;1;KU;60;M;;0;ei henkilövahinkoa;;;
6594849;11958530;11816332;1;KU;56;M;;0;ei henkilövahinkoa;;;
6662218;11958532;11816333;1;KU;38;M;;0;ei henkilövahinkoa;;;
6741072;11958540;11816639;1;KU;20;M;;0;ei henkilövahinkoa;;;
6732399;11958542;11816640;1;KU;47;M;;0;ei henkilövahinkoa;;;
6636590;11958550;11816644;1;KU;52;M;U;0;ei henkilövahinkoa;;;
6531379;11958560;11816650;1;KU;48;M;;0;ei henkilövahinkoa;;;
6531379;11958560;11816651;1;MA;;;;0;ei henkilövahinkoa;;;
6531379;11958560;11816652;1;MA;;;;0;ei henkilövahinkoa;;;
6531379;11958560;11816653;1;MA;;;;0;ei henkilövahinkoa;;;
6565183;11958564;11816656;1;KU;;;;0;ei henkilövahinkoa;;;
6621412;11958571;11816663;1;KU;19;M;;0;ei henkilövahinkoa;;;
6594679;11958577;11816667;1;KU;30;N;;0;ei henkilövahinkoa;;;
6636756;11958783;11816673;1;MA;47;N;;L;loukkaantunut;;;
6636756;11958783;11816674;1;KU;48;M;;L;loukkaantunut;;;
6477737;11958789;11816677;1;KU;38;M;;0;ei henkilövahinkoa;;;
6491128;11958791;11816678;1;KU;32;M;;0;ei henkilövahinkoa;;;
6491128;11958791;11816679;1;MA;;N;;0;ei henkilövahinkoa;;;
6596238;11958793;11816680;1;KU;;M;;0;ei henkilövahinkoa;;;
6478445;11958795;11816681;1;MA;34;N;;L;loukkaantunut;;;
6478445;11958795;11816682;1;KU;36;M;;0;ei henkilövahinkoa;;;
6478445;11958795;11816683;1;MA;4;M;;0;ei henkilövahinkoa;;;
6478445;11958795;11816684;1;MA;2;N;;0;ei henkilövahinkoa;;;
6566342;11958799;11816686;1;KU;;M;;0;ei henkilövahinkoa;;;
6555276;11958826;11816720;1;KU;57;M;;0;ei henkilövahinkoa;;;
6555276;11958827;11816721;2;KU;69;N;;0;ei henkilövahinkoa;;;
6551458;11958844;11816740;1;KU;41;M;;0;ei henkilövahinkoa;;;
6551458;11958845;11816741;2;KU;51;M;;0;ei henkilövahinkoa;;;
6470154;11959073;11817056;1;KU;57;M;;0;ei henkilövahinkoa;;;
6470154;11959074;11817057;2;KU;46;M;;L;loukkaantunut;;;
6470154;11959075;11817058;3;KU;51;M;;0;ei henkilövahinkoa;;;
6532583;11959091;11817075;1;KU;;M;O;0;ei henkilövahinkoa;;;
6563935;11959104;11817089;1;KU;;M;O;0;ei henkilövahinkoa;;;
6551477;11959113;11817098;1;MA;29;M;;0;ei henkilövahinkoa;;;
6551477;11959113;11817099;1;KU;22;N;;0;ei henkilövahinkoa;;;
6551477;11959114;11817100;2;KU;;N;;0;ei henkilövahinkoa;;;
6510123;11959117;11817103;1;KU;68;N;;0;ei henkilövahinkoa;;;
6510123;11959117;11817104;1;MA;;N;;0;ei henkilövahinkoa;;;
6510123;11959117;11817105;1;MA;;N;;0;ei henkilövahinkoa;;;
6510123;11959118;11817106;2;KU;71;M;;0;ei henkilövahinkoa;;;
6489885;11959126;11817118;1;KU;19;M;;0;ei henkilövahinkoa;;;
6489885;11959127;11817119;2;KU;33;N;;0;ei henkilövahinkoa;;;
6500467;11959136;11817131;1;KU;43;N;;L;loukkaantunut;;;
6500467;11959137;11817132;2;MA;57;N;;L;loukkaantunut;;;
6500467;11959137;11817133;2;KU;59;M;;0;ei henkilövahinkoa;;;
6531415;11959141;11817139;1;KU;39;N;;0;ei henkilövahinkoa;;;
6531415;11959142;11817140;2;KU;;;;0;ei henkilövahinkoa;;;
6483062;11954318;11817386;1;KU;36;M;;0;ei henkilövahinkoa;;;
6481821;11954323;11817393;1;KU;68;N;;0;ei henkilövahinkoa;;;
6481821;11954324;11817394;2;KU;73;M;;0;ei henkilövahinkoa;;;
6481821;11954324;11817395;2;MA;;N;;0;ei henkilövahinkoa;;;
6669313;11954326;11817397;1;KU;56;M;;0;ei henkilövahinkoa;;;
6639543;11954340;11817415;1;KU;56;N;;0;ei henkilövahinkoa;;;
6639543;11954341;11817416;2;KU;19;M;X;0;ei henkilövahinkoa;;;
6703104;11954349;11817424;1;MA;44;N;;L;loukkaantunut;;;
6703104;11954349;11817425;1;KU;43;M;;L;loukkaantunut;;;
6624800;11954350;11817426;1;KU;;N;;0;ei henkilövahinkoa;;;
6624800;11954350;11817427;1;MA;;M;;0;ei henkilövahinkoa;;;
6826255;11954382;11817664;1;MA;32;N;;0;ei henkilövahinkoa;;;
6826255;11954382;11817665;1;KU;43;M;;0;ei henkilövahinkoa;;;
6698153;11954383;11817666;1;MA;21;M;;0;ei henkilövahinkoa;;;
6698153;11954383;11817667;1;KU;20;M;;0;ei henkilövahinkoa;;;
